,target,params
77,-0.45248525745973467,"{'colsample_bytree': 0.524582614686833, 'learning_rate': 0.0111123873532363, 'max_depth': 1.2656731621299158, 'n_estimators': 178.32772011809678}"
78,-0.16850857284527584,"{'colsample_bytree': 0.9814458062241161, 'learning_rate': 0.04290507583418199, 'max_depth': 2.956664812400316, 'n_estimators': 177.92169514598487}"
79,-0.2971144975742116,"{'colsample_bytree': 0.8028324703227013, 'learning_rate': 0.1571203838736651, 'max_depth': 1.935169948246473, 'n_estimators': 181.32414315758524}"
80,-0.23006480874104462,"{'colsample_bytree': 0.3581866451404805, 'learning_rate': 0.17427237827061337, 'max_depth': 4.944683727548325, 'n_estimators': 176.5526553007581}"
81,-0.17528784338195313,"{'colsample_bytree': 0.6487085419405103, 'learning_rate': 0.0658227194375744, 'max_depth': 7.736121710885572, 'n_estimators': 170.3204601915325}"
82,-0.22375388091012133,"{'colsample_bytree': 0.8151539189669045, 'learning_rate': 0.147917326351723, 'max_depth': 6.025935522525659, 'n_estimators': 180.43090487247522}"
83,-0.16598718130597634,"{'colsample_bytree': 0.6642748616268439, 'learning_rate': 0.041634480422318695, 'max_depth': 8.177865558417245, 'n_estimators': 179.1565313974173}"
84,-0.21782135172533712,"{'colsample_bytree': 0.27940359075430793, 'learning_rate': 0.1357014205730997, 'max_depth': 8.735275678017238, 'n_estimators': 178.31513442767957}"
85,-0.22948783492400646,"{'colsample_bytree': 0.130458783116552, 'learning_rate': 0.19621413764795176, 'max_depth': 7.280999023316378, 'n_estimators': 169.74039368139552}"
86,-0.16430781720449814,"{'colsample_bytree': 0.4500780587367855, 'learning_rate': 0.03770356673732725, 'max_depth': 7.9849004657166205, 'n_estimators': 178.77171325299236}"
87,-0.1639598120081179,"{'colsample_bytree': 0.8777316922532273, 'learning_rate': 0.03699734313568359, 'max_depth': 6.420539932044287, 'n_estimators': 177.61312499808002}"
88,-0.2267151087674005,"{'colsample_bytree': 0.13592138146821683, 'learning_rate': 0.15127548499511245, 'max_depth': 8.214583515551794, 'n_estimators': 176.2739293923646}"
89,-0.21207158193182613,"{'colsample_bytree': 0.6601669816251752, 'learning_rate': 0.1333590316163877, 'max_depth': 4.51705986393043, 'n_estimators': 173.3341373970885}"
90,-0.2295911789517473,"{'colsample_bytree': 0.38562644744271435, 'learning_rate': 0.19018683527509425, 'max_depth': 7.846833100334399, 'n_estimators': 172.33381430811806}"
91,-0.23371806325953695,"{'colsample_bytree': 0.20353086812065435, 'learning_rate': 0.1865328019831318, 'max_depth': 8.173763333076957, 'n_estimators': 179.99017331384994}"
92,-0.17082885035015655,"{'colsample_bytree': 0.4165647310113868, 'learning_rate': 0.02207097625676392, 'max_depth': 8.301590276708938, 'n_estimators': 168.83265520792753}"
93,-0.20434196832319795,"{'colsample_bytree': 0.9700893754559707, 'learning_rate': 0.11011297323616942, 'max_depth': 4.431636496548462, 'n_estimators': 179.5906393321801}"
94,-0.19986420468135552,"{'colsample_bytree': 0.878622753340949, 'learning_rate': 0.1112643509856402, 'max_depth': 8.304982503547038, 'n_estimators': 170.27970383277744}"
95,-0.22016295064362615,"{'colsample_bytree': 0.17056699758773308, 'learning_rate': 0.14971478823420584, 'max_depth': 8.087810380737036, 'n_estimators': 167.11615822214674}"
96,-0.19973323615938948,"{'colsample_bytree': 0.17202256888895057, 'learning_rate': 0.022097184484996653, 'max_depth': 6.013735040946174, 'n_estimators': 858.3810811457095}"
97,-0.22461699550720615,"{'colsample_bytree': 0.9694266327355806, 'learning_rate': 0.15923129817174148, 'max_depth': 6.918520019741477, 'n_estimators': 170.7905525288105}"
98,-0.18644043290441817,"{'colsample_bytree': 0.20542792904576124, 'learning_rate': 0.0728230154865925, 'max_depth': 3.594808404856342, 'n_estimators': 178.43798929432273}"
99,-0.18188806682674818,"{'colsample_bytree': 0.38788993863445453, 'learning_rate': 0.07714004108915389, 'max_depth': 9.716364139261607, 'n_estimators': 168.46988341581914}"
100,-0.32256806827755913,"{'colsample_bytree': 0.3485436195232254, 'learning_rate': 0.12645997103873607, 'max_depth': 5.188878948381465, 'n_estimators': 858.9533453431328}"
101,-0.16516437698087816,"{'colsample_bytree': 0.5718859486357356, 'learning_rate': 0.04404383293616766, 'max_depth': 4.059215069140253, 'n_estimators': 181.0058453546386}"
102,-0.22941313783113718,"{'colsample_bytree': 0.8992187821393777, 'learning_rate': 0.15879024235083947, 'max_depth': 4.500513089506402, 'n_estimators': 174.9470029877645}"
103,-0.18468045111853576,"{'colsample_bytree': 0.13129674323636037, 'learning_rate': 0.07357699726428767, 'max_depth': 5.214561865539586, 'n_estimators': 181.99383784168285}"
104,-0.23568653823716743,"{'colsample_bytree': 0.1, 'learning_rate': 0.2, 'max_depth': 7.129986362219787, 'n_estimators': 179.1565905389348}"
105,-0.22856871145747976,"{'colsample_bytree': 0.3093058080057357, 'learning_rate': 0.18271937014875997, 'max_depth': 6.855582481345989, 'n_estimators': 166.47207889816502}"
106,-0.2189176909987911,"{'colsample_bytree': 0.21827984592029492, 'learning_rate': 0.13660631618816058, 'max_depth': 4.232196687602402, 'n_estimators': 180.61858504040302}"
107,-0.18734325400685076,"{'colsample_bytree': 0.39158034013400433, 'learning_rate': 0.08085442119921402, 'max_depth': 9.224355989844046, 'n_estimators': 167.10780672354304}"
108,-0.21513739818566138,"{'colsample_bytree': 0.4382424042894171, 'learning_rate': 0.12494266099568029, 'max_depth': 4.335447588416946, 'n_estimators': 182.8599522124914}"
109,-0.16967894402634043,"{'colsample_bytree': 0.28521441933429603, 'learning_rate': 0.020612860257987954, 'max_depth': 5.563910451989678, 'n_estimators': 183.6627880199698}"
110,-0.20103917839614435,"{'colsample_bytree': 0.35653509497060754, 'learning_rate': 0.10132788863005977, 'max_depth': 6.146681723197519, 'n_estimators': 181.62329179860927}"
111,-0.23118540614730074,"{'colsample_bytree': 0.535539551292814, 'learning_rate': 0.1619133604187918, 'max_depth': 6.345648941982535, 'n_estimators': 184.6328927154094}"
112,-0.1699997611339065,"{'colsample_bytree': 0.4249366910037571, 'learning_rate': 0.05506963906141789, 'max_depth': 9.69218170511867, 'n_estimators': 170.12092141444762}"
113,-0.16315377460471275,"{'colsample_bytree': 0.698820330000981, 'learning_rate': 0.03572845957114381, 'max_depth': 9.049566116247036, 'n_estimators': 167.80218267712695}"
114,-0.18940551934963912,"{'colsample_bytree': 0.7552572793868925, 'learning_rate': 0.08558392755975479, 'max_depth': 6.0048431781038065, 'n_estimators': 183.2063652155791}"
115,-0.22760609321221992,"{'colsample_bytree': 0.17472462867214467, 'learning_rate': 0.19656055905265307, 'max_depth': 8.94086383686772, 'n_estimators': 164.73584511626916}"
116,-0.16700759110886437,"{'colsample_bytree': 0.8719014795327695, 'learning_rate': 0.039553562740278936, 'max_depth': 3.4809040329892067, 'n_estimators': 181.72915865611952}"
117,-0.20301090809478803,"{'colsample_bytree': 0.2515392892819266, 'learning_rate': 0.10767279449840236, 'max_depth': 6.517228119525852, 'n_estimators': 182.87847153877428}"
118,-0.35400459406595447,"{'colsample_bytree': 0.35663883693071907, 'learning_rate': 0.19451365439429122, 'max_depth': 7.05793610477334, 'n_estimators': 857.4016487298729}"
119,-0.2061951029008023,"{'colsample_bytree': 0.4152303602322721, 'learning_rate': 0.13352734323137744, 'max_depth': 6.867315559269197, 'n_estimators': 164.64664696544128}"
