iter	Passed	Remaining
787	1543619	4333104
788	1545555	4331080
789	1547561	4329254
790	1549482	4327189
791	1551443	4325235
792	1553418	4323322
793	1555526	4321777
794	1557477	4319796
795	1559265	4317363
796	1561116	4315105
797	1563154	4313366
798	1565069	4311285
799	1566951	4309117
800	1568760	4306747
801	1570708	4304758
802	1572720	4302948
803	1574620	4300830
804	1576469	4298572
805	1578992	4298149
806	1580747	4295636
807	1582644	4293509
808	1584420	4291056
809	1586314	4288925
810	1588183	4286724
811	1590161	4284819
812	1592040	4282647
813	1594148	4281091
814	1595947	4278704
815	1597783	4276419
816	1599552	4273956
817	1601405	4271721
818	1603278	4269536
819	1605552	4268419
820	1607542	4266548
821	1609711	4265147
822	1611924	4263864
823	1613931	4262033
824	1615938	4260201
825	1617974	4258446
826	1619842	4256249
827	1621967	4254727
828	1624103	4253231
829	1626287	4251860
830	1628333	4250126
831	1630305	4248200
832	1632299	4246330
833	1634351	4244609
834	1636374	4242814
835	1638239	4240611
836	1640080	4238344
837	1642033	4236367
838	1644200	4234942
839	1646032	4232655
840	1647994	4230701
841	1649961	4228761
842	1651845	4226607
843	1653820	4224688
844	1655565	4222182
845	1657337	4219745
846	1659214	4217578
847	1661175	4215625
848	1663127	4213646
849	1665142	4211830
850	1667114	4209904
851	1669020	4207813
852	1670847	4205521
853	1672635	4203134
854	1674566	4201104
855	1676512	4199116
856	1678534	4197314
857	1680401	4195129
858	1682225	4192833
859	1684040	4190519
860	1686093	4188795
861	1688004	4186721
862	1690065	4185016
863	1692180	4183446
864	1694143	4181498
865	1695911	4179071
866	1697753	4176825
867	1699711	4174866
868	1701724	4173042
869	1703621	4170936
870	1705320	4168343
871	1707111	4165979
872	1708947	4163724
873	1710591	4161002
874	1712349	4158563
875	1714141	4156205
876	1715963	4153922
877	1717908	4151938
878	1719782	4149782
879	1721542	4147352
880	1723341	4145017
881	1725410	4143332
882	1727264	4141132
883	1729162	4139035
884	1731018	4136840
885	1733150	4135304
886	1735022	4133147
887	1736952	4131131
888	1738880	4129106
889	1740861	4127211
890	1742763	4125126
891	1744783	4123322
892	1746664	4121189
893	1748359	4118617
894	1750047	4116034
895	1751904	4113847
896	1753800	4111753
897	1755639	4109526
898	1757628	4107650
899	1759815	4106236
900	1761864	4104499
901	1763802	4102503
902	1765710	4100438
903	1767598	4098325
904	1769400	4096015
905	1771320	4093978
906	1773146	4091725
