iter	Passed	Remaining
802	5049	7527
803	5057	7523
804	5066	7520
805	5077	7521
806	5079	7509
807	5090	7510
808	5100	7509
809	5109	7507
810	5118	7504
811	5126	7500
812	5132	7492
813	5140	7489
814	5148	7486
815	5158	7484
816	5159	7471
817	5162	7459
818	5170	7455
819	5179	7453
820	5188	7451
821	5193	7442
822	5202	7440
823	5211	7438
824	5220	7435
825	5231	7435
826	5241	7433
827	5250	7432
828	5252	7418
829	5253	7405
830	5262	7402
831	5274	7404
832	5276	7392
833	5278	7379
834	5287	7377
835	5289	7364
836	5298	7362
837	5302	7352
838	5303	7339
839	5316	7341
840	5325	7338
841	5334	7336
842	5344	7335
843	5354	7333
844	5356	7321
845	5365	7318
846	5367	7307
847	5379	7307
848	5396	7315
849	5403	7310
850	5404	7297
851	5412	7292
852	5420	7289
853	5422	7276
854	5431	7273
855	5440	7270
856	5449	7267
857	5450	7254
858	5458	7250
859	5460	7238
860	5470	7236
861	5480	7235
862	5489	7232
863	5491	7220
864	5492	7207
865	5496	7197
866	5504	7193
867	5506	7181
868	5514	7176
869	5526	7177
870	5535	7174
871	5536	7162
872	5548	7162
873	5553	7154
874	5569	7160
875	5579	7159
876	5589	7157
877	5604	7161
878	5613	7158
879	5614	7145
880	5615	7132
881	5616	7118
882	5625	7115
883	5634	7112
884	5643	7109
885	5652	7106
886	5653	7093
887	5655	7082
888	5665	7080
889	5670	7072
890	5679	7068
891	5689	7066
892	5700	7067
893	5711	7065
894	5722	7065
895	5723	7052
896	5732	7049
897	5742	7046
898	5750	7043
899	5759	7039
900	5770	7038
901	5781	7037
902	5786	7030
903	5790	7020
904	5804	7023
905	5813	7020
906	5823	7017
907	5832	7014
908	5841	7011
909	5849	7006
910	5859	7004
911	5870	7003
912	5879	6999
913	5886	6994
914	5894	6990
915	5902	6984
916	5904	6973
917	5911	6967
918	5918	6961
919	5922	6952
920	5923	6939
921	5930	6933
922	5933	6923
923	5935	6911
924	5943	6906
925	5952	6904
926	5962	6902
927	5970	6896
928	5978	6892
929	5986	6888
930	5989	6876
931	5998	6873
932	6007	6870
933	6015	6866
934	6021	6858
935	6031	6855
936	6039	6851
937	6051	6851
938	6061	6849
939	6069	6844
940	6079	6841
941	6088	6837
942	6095	6832
943	6102	6827
944	6115	6826
945	6124	6823
946	6136	6823
947	6144	6818
948	6155	6817
949	6163	6811
950	6170	6806
